,Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
Hours_Studied,1.0,-0.009907859200133592,0.010976689296114152,0.02484578206796134,-0.014282264334903238,0.0046243902725861,0.44555758502321136
Attendance,-0.009907859200133592,1.0,-0.015917825765680738,-0.0201861029599873,0.014323509499262671,-0.02243470270349264,0.5812045285301284
Sleep_Hours,0.010976689296114152,-0.015917825765680738,1.0,-0.021750343098425513,-0.012216112032957426,-0.00037806520293003277,-0.01700001180589357
Previous_Scores,0.02484578206796134,-0.0201861029599873,-0.021750343098425513,1.0,-0.013122325694712519,-0.011273733910109109,0.1750888995132921
Tutoring_Sessions,-0.014282264334903238,0.014323509499262671,-0.012216112032957426,-0.013122325694712519,1.0,0.017732945340729694,0.15646638220459014
Physical_Activity,0.0046243902725861,-0.02243470270349264,-0.00037806520293003277,-0.011273733910109109,0.017732945340729694,1.0,0.027832475199012056
Exam_Score,0.44555758502321136,0.5812045285301284,-0.01700001180589357,0.1750888995132921,0.15646638220459014,0.027832475199012056,1.0
